"ID","Bolum","Universite","Sehir","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"114","Tıp Fakültesi","İSTANBUL  ÜNİVERSİTESİ","İstanbul","0.000","0.000","0.000","0.000","359.149","361.938","366.023","355.998","364.622","363.004","511.000","544.830"
"115","Tıp Fakültesi","KADİR HAS  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","169.787","170.777","157.718","174.923","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"116","Tıp Fakültesi","KAFKAS ÜNİVERSİTESİ (KARS)","KARS","0.000","0.000","0.000","0.000","0.000","347.960","353.224","337.208","352.502","267.501","471.000","513.073"
"117","Tıp Fakültesi","KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ","Kahramanmaraş","0.000","0.000","0.000","0.000","350.294","351.392","356.354","341.109","354.719","350.335","480.000","517.831"
"118","Tıp Fakültesi","KARADENİZ TEKNİK ÜNİVERSİTESİ (TRABZON)","Trabzon","0.000","0.000","0.000","0.000","348.760","350.404","355.599","340.536","354.878","350.199","473.000","518.107"
"119","Tıp Fakültesi","KIRIKKALE ÜNİVERSİTESİ","Kırıkkale","0.000","0.000","0.000","0.000","349.293","351.177","356.195","340.603","354.656","349.991","474.000","517.416"
"120","Tıp Fakültesi","KOCAELİ ÜNİVERSİTESİ","Kocaeli","0.000","0.000","0.000","0.000","351.029","353.110","358.435","345.589","357.430","354.379","492.000","528.343"
"121","Tıp Fakültesi","MALTEPE ÜNİVERSİTESİ (İSTANBUL)","İstanbul","163.427","167.340","157.864","164.171","311.374","324.638","335.510","311.814","336.379","331.164","0.000","0.000"
"122","Tıp Fakültesi","MALTEPE ÜNİVERSİTESİ (İSTANBUL)-B","İstanbul","0.000","0.000","0.000","0.000","347.738","330.809","0.000","345.155","345.155","355.570","0.000","552.371"
"123","Tıp Fakültesi","MARMARA  ÜNİVERSİTESİ (İSTANBUL)-İ","İstanbul","0.000","0.000","0.000","213.320","358.250","359.327","363.403","351.495","361.477","359.151","508.000","538.665"
"124","Tıp Fakültesi","MERSİN ÜNİVERSİTESİ","Mersin","0.000","0.000","0.000","0.000","352.961","353.746","358.303","344.742","356.706","352.568","475.000","523.270"
"125","Tıp Fakültesi","ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN)","Samsun","0.000","0.000","0.000","0.000","349.743","351.383","357.015","343.198","356.306","352.577","481.000","523.791"
"126","Tıp Fakültesi","OSMANGAZ› ÜNİVERSİTESİ (ESK›fiEH›R)","Eskişehir","0.000","0.000","0.000","0.000","352.486","354.210","359.592","346.719","358.319","355.521","494.000","530.914"
"127","Tıp Fakültesi","PAMUKKALE ÜNİVERSİTESİ (DENİZLİ)","Denizli","0.000","0.000","0.000","0.000","352.617","353.504","358.142","344.288","356.491","352.515","483.000","522.394"
"128","Tıp Fakültesi","SELÇUK ÜNİVERSİTESİ (KONYA) MERAM","Konya","0.000","0.000","0.000","0.000","353.005","355.047","359.965","346.376","357.923","354.119","486.000","526.980"
"129","Tıp Fakültesi","SELÇUK ÜNİVERSİTESİ (KONYA) SELÇUKLU","Konya","0.000","0.000","0.000","0.000","351.453","353.690","358.563","345.716","357.239","353.119","478.000","525.487"
"130","Tıp Fakültesi","SÜLEYMAN DEMİREL ÜNİVERSİTESİ (ISPARTA)","Isparta","0.000","0.000","0.000","0.000","350.941","351.935","356.419","341.532","354.772","350.118","476.000","518.822"
"131","Tıp Fakültesi","TRAKYA  ÜNİVERSİTESİ (EDİRNE)","Edirne","202.734","201.956","0.000","204.689","348.387","350.048","355.456","340.711","355.063","350.813","466.000","520.423"
"132","Tıp Fakültesi","UFUK ÜNİVERSİTESİ (ANKARA)","Ankara","0.000","0.000","0.000","0.000","335.273","342.215","348.778","330.819","348.586","339.677","456.000","499.600"
"133","Tıp Fakültesi","UFUK ÜNİVERSİTESİ (ANKARA)-B","Ankara","0.000","0.000","0.000","0.000","349.111","352.395","361.533","352.430","360.412","353.509","496.000","528.267"
"134","Tıp Fakültesi","ULUDAÐ  ÜNİVERSİTESİ (BURSA)","Bursa","209.074","207.433","0.000","0.000","354.786","356.428","361.172","348.560","359.308","356.712","485.000","532.776"
